"Report Written:","Tuesday, February 04, 2020"
"Project Path:","C:\Giovanni\neuralmapper\PCB\NM-WM300D3I2C\Rev2\NM-WM300D3I2C.prj"
"Design Path:","C:\Giovanni\neuralmapper\PCB\NM-WM300D3I2C\Rev2\NM-WM300D3I2C.pcb"
"Design Title:",
"Created:","8/6/2014 3:55:19 PM"
"Last Saved:","2/4/2020 10:54:57 AM"
"Editing Time:","16288 min"
"Units:","mil (precision 0)"


"Ref Name","Qty","Component","Value","Side","Manufacturer","Manufacturer part number","Distributor","Distributor part number","Description","Price"
"U4","1","BSS138","","Top","ON Semiconductor","BSS138","Digikey","BSS138CT-ND","MOSFET N-CH 50V 220MA SOT-23","0.31"
"U5","1","BSS138","","Top","ON Semiconductor","BSS138","Digikey","BSS138CT-ND","MOSFET N-CH 50V 220MA SOT-23","0.31"
"JP2","1","BTE-040-01-F-D-A","","Bottom","Samtec","BTE-040-01-L-D-A","Digkey","SAM8745-ND","CONN HEADER 40POS .031"" SMT GLD","6.53"
"JP3","1","BTE-040-01-F-D-A","","Bottom","Samtec","BTE-040-01-L-D-A","Digkey","SAM8745-ND","CONN HEADER 40POS .031"" SMT GLD","6.53"
"C9","1","C0402_0.1u_16V",".1u","Top","Murata","GRM155R71C104KA88D","Digikey","490-3261-1-ND","CAP CER 0.1UF 16V 10% X7R 0402","0.10"
"C11","1","C0402_0.1u_16V",".1u","Top","Murata","GRM155R71C104KA88D","Digikey","490-3261-1-ND","CAP CER 0.1UF 16V 10% X7R 0402","0.10"
"C15","1","C0402_0.1u_16V",".1u","Top","Murata","GRM155R71C104KA88D","Digikey","490-3261-1-ND","CAP CER 0.1UF 16V 10% X7R 0402","0.10"
"C10","1","C0402_1n_50V","1n","Top","Murata","GRM155R71H102KA01D","Digikey","490-1303-1-ND","CAP CER 1000PF 50V 10% X7R 0402","0.10"
"C12","1","C0402_1n_50V","1n","Top","Murata","GRM155R71H102KA01D","Digikey","490-1303-1-ND","CAP CER 1000PF 50V 10% X7R 0402","0.10"
"C22","1","C0402_1n_50V","1n","Bottom","Murata","GRM155R71H102KA01D","Digikey","490-1303-1-ND","CAP CER 1000PF 50V 10% X7R 0402","0.10"
"C23","1","C0402_1n_50V","1n","Bottom","Murata","GRM155R71H102KA01D","Digikey","490-1303-1-ND","CAP CER 1000PF 50V 10% X7R 0402","0.10"
"C25","1","C0402_1n_50V","1n","Bottom","Murata","GRM155R71H102KA01D","Digikey","490-1303-1-ND","CAP CER 1000PF 50V 10% X7R 0402","0.10"
"C28","1","C0402_1n_50V","1n","Bottom","Murata","GRM155R71H102KA01D","Digikey","490-1303-1-ND","CAP CER 1000PF 50V 10% X7R 0402","0.10"
"C3","1","C0402_1u_16V","1u","Top","Murata","GRM155R60J105ME19D","Digikey","490-1319-1-ND","CAP CER 1UF 6.3V 20% X5R 0402","0.10"
"C6","1","C0402_1u_16V","1u","Top","Murata","GRM155R60J105ME19D","Digikey","490-1319-1-ND","CAP CER 1UF 6.3V 20% X5R 0402","0.10"
"C21","1","C0402_1u_16V","1u","Bottom","Murata","GRM155R60J105ME19D","Digikey","490-1319-1-ND","CAP CER 1UF 6.3V 20% X5R 0402","0.10"
"C24","1","C0402_1u_16V","1u","Bottom","Murata","GRM155R60J105ME19D","Digikey","490-1319-1-ND","CAP CER 1UF 6.3V 20% X5R 0402","0.10"
"C26","1","C0402_1u_16V","1u","Bottom","Murata","GRM155R60J105ME19D","Digikey","490-1319-1-ND","CAP CER 1UF 6.3V 20% X5R 0402","0.10"
"C27","1","C0402_1u_16V","1u","Bottom","Murata","GRM155R60J105ME19D","Digikey","490-1319-1-ND","CAP CER 1UF 6.3V 20% X5R 0402","0.10"
"C4","1","C0402_2.2u_4V","2.2u","Top","Murata","GRM155R60G225ME15D","Digikey","490-4518-1-ND","CAP CER 2.2UF 4V 20% X5R 0402","0.27"
"C7","1","C0402_2.2u_4V","2.2u","Top","Murata","GRM155R60G225ME15D","Digikey","490-4518-1-ND","CAP CER 2.2UF 4V 20% X5R 0402","0.27"
"C5","1","C0402_10n_25V","10n","Top","Murata","GRM155R71E103KA01D","Digikey","490-1312-1-ND","CAP CER 10000PF 25V 10% X7R 0402","0.10"
"C8","1","C0402_10n_25V","10n","Top","Murata","GRM155R71E103KA01D","Digikey","490-1312-1-ND","CAP CER 10000PF 25V 10% X7R 0402","0.10"
"C14","1","C0402_10n_25V","10n","Top","Murata","GRM155R71E103KA01D","Digikey","490-1312-1-ND","CAP CER 10000PF 25V 10% X7R 0402","0.10"
"C13","1","C0805_22u_6.3V","22u","Top","Murata","GRM21BR60J226ME39L","Digikey","490-1719-1-ND","CAP CER 22UF 6.3V 20% X5R 0805","0.29"
"U2","1","CAT6219_3V3","","Top","ON Semiconductor","CAT6219-330TDGT3","Digikey","CAT6219-330TDGT3CT-ND","IC REG LDO 3.3V 0.5A TSOT23-5","0.97"
"U3","1","CAT6219_3V3","","Top","ON Semiconductor","CAT6219-330TDGT3","Digikey","CAT6219-330TDGT3CT-ND","IC REG LDO 3.3V 0.5A TSOT23-5","0.97"
"TRIG","1","CONN2_THROUGH_RIGHT_2MM","","Bottom","Harwin","M80-8780222","Digikey","952-2970-ND","CONN HEADER R/A 2POS 2MM","1.84"
"LED_1","1","CONN2_THROUGH_RIGHT_2MM","","Bottom","Harwin","M80-8780222","Digikey","952-2970-ND","CONN HEADER R/A 2POS 2MM","1.84"
"LED_2","1","CONN2_THROUGH_RIGHT_2MM","","Bottom","Harwin","M80-8780222","Digikey","952-2970-ND","CONN HEADER R/A 2POS 2MM","1.84"
"DS93","1","DS92LV1212A","","Bottom","TI","DS92LV1212AMSA","Digikey","DS92LV1212AMSA-ND","IC DESERIALIZER 10-BIT 28-SSOP","8.21"
"FERR","1","FERR","120","Top","TDK","MMZ1608B121C","Digikey","445-2164-1-ND","FERRITE CHIP 120 OHM 600MA 0603","0.10"
"U11","1","HDMI","","Bottom","Molex","0467650001","Digikey","WM1281CT-ND","Connector Receptacle HDMI Micro 19 Position Surface Mount, Right Angle, Horizontal","2.66"
"JP6","1","JP1","","Top","Molex","0022288010","Digikey","WM50013-01-ND","CONN HEADER R/A 1POS 2.54MM","0.10"
"JP7","1","JP2","","Top","Wurth","61300211121","Digikey","732-5315-ND","CONN HEADER 2 POS 2.54","0.13"
"JP8","1","JP2","","Top","Wurth","61300211121","Digikey","732-5315-ND","CONN HEADER 2 POS 2.54","0.13"
"JP4","1","JP3","","Top","Molex","0022285033","Digikey","WM12735-ND","CONN HEADER VERT 3POS 2.54MM","0.24"
"JP9","1","JP3","","Top","Molex","0022285033","Digikey","WM12735-ND","CONN HEADER VERT 3POS 2.54MM","0.24"
"JP10","1","JP3","","Top","Molex","0022285033","Digikey","WM12735-ND","CONN HEADER VERT 3POS 2.54MM","0.24"
"JP5","1","JP4","","Top","Wurth","61300411121","Digikey","732-5317-ND","CONN HEADER 4 POS 2.54","0.18"
"JP1","1","JP8","","Top","Molex","0901200128","Digikey","WM8078-ND","CONN HEADER VERT 8POS 2.54MM","0.94"
"LED3","1","LED_BLUE_0402","","Top","Kingbright","APHHS1005QBC/D","Digikey","754-1504-6-ND","LED BLUE CLEAR CHIP SMD","0.56"
"LED4","1","LED_BLUE_0402","","Top","Kingbright","APHHS1005QBC/D","Digikey","754-1504-6-ND","LED BLUE CLEAR CHIP SMD","0.56"
"LED2","1","LED_GREEN_0402","","Top","Kingbright","APHHS1005CGCK","Digikey","754-1101-1-ND","LED GREEN CLEAR CHIP SMD","0.44"
"LED5","1","LED_ORANGE_0402","","Top","Kingbright","APHHS1005SECK","Digikey","754-1103-1-ND","LED ORANGE CLEAR CHIP SMD","0.44"
"LED6","1","LED_ORANGE_0402","","Top","Kingbright","APHHS1005SECK","Digikey","754-1103-1-ND","LED ORANGE CLEAR CHIP SMD","0.44"
"U7","1","LED_PIPE_VLP1-F1","","Top","Essentra","VLP1-F-1","Digikey","RPC5344-ND","LED LIGHT PIPE CLR VERT 12.7MM","0.75"
"U8","1","LED_PIPE_VLP1-F1","","Top","Essentra","VLP1-F-1","Digikey","RPC5344-ND","LED LIGHT PIPE CLR VERT 12.7MM","0.75"
"U9","1","LED_PIPE_VLP1-F1","","Top","Essentra","VLP1-F-1","Digikey","RPC5344-ND","LED LIGHT PIPE CLR VERT 12.7MM","0.75"
"U10","1","LED_PIPE_VLP1-F1","","Top","Essentra","VLP1-F-1","Digikey","RPC5344-ND","LED LIGHT PIPE CLR VERT 12.7MM","0.75"
"U13","1","LED_PIPE_VLP1-F1","","Top","Essentra","VLP1-F-1","Digikey","RPC5344-ND","LED LIGHT PIPE CLR VERT 12.7MM","0.75"
"U16","1","LED_PIPE_VLP1-F1","","Top","Essentra","VLP1-F-1","Digikey","RPC5344-ND","LED LIGHT PIPE CLR VERT 12.7MM","0.75"
"LED7","1","LED_RED_0402","","Top","Kingbright","APHHS1005SURCK","Digikey","754-1104-1-ND","LED RED CLEAR CHIP SMD","0.42"
"IC1","1","LT3092ETS8TRMPBF","","Top","Linear Technology","LT3092ETS8#TRMPBF","Digikey","LT3092ETS8#TRMPBFCT-ND","IC CURRENT SOURCE 1% TSOT23-8","4.13"
"IC2","1","LT3092ETS8TRMPBF","","Top","Linear Technology","LT3092ETS8#TRMPBF","Digikey","LT3092ETS8#TRMPBFCT-ND","IC CURRENT SOURCE 1% TSOT23-8","4.13"
"IC3","1","LTC1663-1CS5#TRMPBF","","Top","Linear Technology","","Digikey","LTC1663-1CS5#TRMPBFCT-ND","IC DAC 10BIT R-R TSOT23-5","4.25"
"IC4","1","LTC1663-2CS5#TRMPBF","","Top","Linear Technology","","Digikey","LTC1663-2CS5#TRMPBFCT-ND","IC DAC 10BIT R-R TSOT23-5","4.25"
"Q1","1","NTK3134NT1G","","Top","ON Semiconductor","NTK3134NT1G","Digikey","NTK3134NT1GOSCT-ND","MOSFET N-CH 20V 750MA SOT-723","0.48"
"Q2","1","NTK3134NT1G","","Top","ON Semiconductor","NTK3134NT1G","Digikey","NTK3134NT1GOSCT-ND","MOSFET N-CH 20V 750MA SOT-723","0.48"
"U12","1","OMNETICS_PNZ_12_AA_SMT","","Bottom","Omnetics","A79623-001","Omnetics","A79623-001","OMNETICS PZN-12-AA","29.00"
"R11","1","R0201_0_1/20","0","Top","Vishay Dale","CRCW02010000Z0ED","Digikey","541-0.0AGCT-ND","RES 0.0 OHM 1/20W JUMP 0201 SMD","0.13"
"R8","1","R0603_5.1_1/4","5.1","Top","Vishay Dale","CRCW06035R10FKEAHP","Digikey","541-5.10STR-ND","RES SMD 5.1 OHM 1% 1/4W 0603","0.11"
"R9","1","R0603_5.1_1/4","5.1","Top","Vishay Dale","CRCW06035R10FKEAHP","Digikey","541-5.10STR-ND","RES SMD 5.1 OHM 1% 1/4W 0603","0.11"
"R15","1","R0603_10k_1/10","10k","Top","Panasonic","ERJ-3GEYJ103V","Digikey","P10KGCT-ND","RES 10K OHM 1/10W 5% 0603 SMD","0.10"
"R5","1","R0603_10k_1/10","10k","Top","Panasonic","ERJ-3GEYJ103V","Digikey","P10KGCT-ND","RES 10K OHM 1/10W 5% 0603 SMD","0.10"
"R7","1","R0603_10k_1/10","10k","Bottom","Panasonic","ERJ-3GEYJ103V","Digikey","P10KGCT-ND","RES 10K OHM 1/10W 5% 0603 SMD","0.10"
"R14","1","R0603_10k_1/10","10k","Top","Panasonic","ERJ-3GEYJ103V","Digikey","P10KGCT-ND","RES 10K OHM 1/10W 5% 0603 SMD","0.10"
"R1","1","R0603_220_1/10","220","Top","Panasonic","ERJ-3GEYJ221V","Digikey","P220GCT-ND","RES 220 OHM 1/10W 5% 0603 SMD","0.10"
"R2","1","R0603_220_1/10","220","Top","Panasonic","ERJ-3GEYJ221V","Digikey","P220GCT-ND","RES 220 OHM 1/10W 5% 0603 SMD","0.10"
"R3","1","R0603_220_1/10","220","Top","Panasonic","ERJ-3GEYJ221V","Digikey","P220GCT-ND","RES 220 OHM 1/10W 5% 0603 SMD","0.10"
"R4","1","R0603_220_1/10","220","Top","Panasonic","ERJ-3GEYJ221V","Digikey","P220GCT-ND","RES 220 OHM 1/10W 5% 0603 SMD","0.10"
"R16","1","R0603_220_1/10","220","Top","Panasonic","ERJ-3GEYJ221V","Digikey","P220GCT-ND","RES 220 OHM 1/10W 5% 0603 SMD","0.10"
"R18","1","R0603_220_1/10","220","Top","Panasonic","ERJ-3GEYJ221V","Digikey","P220GCT-ND","RES 220 OHM 1/10W 5% 0603 SMD","0.10"
"R6","1","R0603_1470k_1/10","1.47k","Top","Panasonic","ERJ-3EKF1471V","Digikey","P1.47KHCT-ND","RES 1.47K OHM 1/10W 1% 0603 SMD","0.10"
"J1","1","SMA_RIGHT_ANGLE","","Bottom","Cinch","142-0701-301","Digikey","J501-ND","CONN SMA JACK R/A 50 OHM PCB","6.38"
"J2","1","SMA_RIGHT_ANGLE","","Bottom","Cinch","142-0701-301","Digikey","J501-ND","CONN SMA JACK R/A 50 OHM PCB","6.38"
"","76","","","","","","","","","105.23"
